Executed: 332238	i: 10085
Executed: 355152	i: 9837
Executed: 355151	i: 9836
Executed: 355150	i: 9835
Executed: 355149	i: 9834
Executed: 355148	i: 9833
Executed: 355147	i: 9832
Executed: 367899	i: 9831
Executed: 367897	i: 9830
Executed: 367895	i: 9829
Executed: 367893	i: 9828
Executed: 367891	i: 9827
Executed: 367889	i: 9826
Executed: 367887	i: 9825
Executed: 372772	i: 9824
Executed: 372771	i: 9823
Executed: 372770	i: 9822
Executed: 969642	i: 9821
Executed: 969641	i: 9820
Executed: 969640	i: 9819
Executed: 969639	i: 9818
Executed: 969638	i: 9817
Executed: 501076	i: 9816
Executed: 501075	i: 9815
Executed: 501074	i: 9814
Executed: 501073	i: 9813
Executed: 501072	i: 9812
Executed: 1838744	i: 9811
Executed: 567160	i: 9810
Executed: 567159	i: 9809
Executed: 567158	i: 9808
Executed: 567157	i: 9807
Executed: 567156	i: 9806
Executed: 567168	i: 9805
Executed: 567167	i: 9804
Executed: 567166	i: 9803
Executed: 567165	i: 9802
Executed: 567164	i: 9801
Executed: 567163	i: 9800
Executed: 567174	i: 9799
Executed: 567173	i: 9798
Executed: 567172	i: 9797
Executed: 567171	i: 9796
Executed: 991122	i: 9795
Executed: 991121	i: 9794
Executed: 991120	i: 9793
Executed: 991119	i: 9792
Executed: 904072	i: 9791
Executed: 904071	i: 9790
Executed: 904070	i: 9789
Executed: 904069	i: 9788
Executed: 904068	i: 9787
Executed: 1809145	i: 9786
Executed: 904079	i: 9785
Executed: 904078	i: 9784
Executed: 904077	i: 9783
Executed: 904076	i: 9782
Executed: 904075	i: 9781
Executed: 904074	i: 9780
Executed: 904084	i: 9779
Executed: 904083	i: 9778
Executed: 904082	i: 9777
Executed: 904081	i: 9776
Executed: 973387	i: 9775
Executed: 973386	i: 9774
Executed: 973385	i: 9773
Executed: 973384	i: 9772
Executed: 973383	i: 9771
Executed: 973382	i: 9770
Executed: 1027334	i: 9769
Executed: 1027333	i: 9768
Executed: 1027332	i: 9767
Executed: 1027331	i: 9766
Executed: 1027330	i: 9765
Executed: 1027329	i: 9764
Executed: 1027327	i: 9763
Executed: 1027326	i: 9762
Executed: 1027325	i: 9761
Executed: 1027324	i: 9760
Executed: 1027323	i: 9759
Executed: 1027322	i: 9758
Executed: 1027320	i: 9757
Executed: 1027319	i: 9756
Executed: 1027318	i: 9755
Executed: 1027317	i: 9754
Executed: 1027316	i: 9753
Executed: 1027315	i: 9752
Executed: 1027314	i: 9751
Executed: 1031864	i: 9750
Executed: 1031863	i: 9749
Executed: 1031862	i: 9748
Executed: 1031861	i: 9747
Executed: 1031860	i: 9746
Executed: 1144408	i: 9745
Executed: 1144407	i: 9744
Executed: 1144406	i: 9743
Executed: 1144405	i: 9742
Executed: 1144404	i: 9741
Executed: 1144402	i: 9740
Executed: 1144401	i: 9739
Executed: 1144400	i: 9738
Executed: 1144399	i: 9737
Executed: 1144398	i: 9736
Executed: 1144397	i: 9735
Executed: 1144395	i: 9734
Executed: 1144394	i: 9733
Executed: 1144393	i: 9732
Executed: 1144392	i: 9731
Executed: 1144391	i: 9730
Executed: 1144390	i: 9729
Executed: 1144388	i: 9728
Executed: 1144387	i: 9727
Executed: 1144386	i: 9726
Executed: 1144385	i: 9725
Executed: 1144384	i: 9724
Executed: 1144383	i: 9723
Executed: 1144381	i: 9722
Executed: 1144380	i: 9721
Executed: 1144379	i: 9720
Executed: 1144378	i: 9719
Executed: 1144377	i: 9718
Executed: 1144376	i: 9717
Executed: 1144374	i: 9716
Executed: 1144373	i: 9715
Executed: 1144372	i: 9714
Executed: 1144371	i: 9713
Executed: 1144370	i: 9712
Executed: 1144369	i: 9711
Executed: 1144368	i: 9710
Executed: 1144367	i: 9709
Executed: 1144365	i: 9708
Executed: 1144364	i: 9707
Executed: 1144363	i: 9706
Executed: 1144362	i: 9705
Executed: 1144361	i: 9704
Executed: 1144360	i: 9703
Executed: 1217675	i: 9702
Executed: 1217674	i: 9701
Executed: 1217673	i: 9700
Executed: 1217672	i: 9699
Executed: 1217671	i: 9698
Executed: 1217670	i: 9697
Executed: 1217669	i: 9696
Executed: 1217668	i: 9695
Executed: 1217667	i: 9694
Executed: 1217740	i: 9693
Executed: 1217739	i: 9692
Executed: 1217738	i: 9691
Executed: 1217737	i: 9690
Executed: 1217736	i: 9689
Executed: 1217735	i: 9688
Executed: 1217734	i: 9687
Executed: 1217733	i: 9686
Executed: 1217732	i: 9685
Executed: 1217731	i: 9684
Executed: 1217730	i: 9683
Executed: 1217729	i: 9682
Executed: 1247246	i: 9681
Executed: 1247245	i: 9680
Executed: 1247244	i: 9679
Executed: 1247243	i: 9678
Executed: 1247242	i: 9677
Executed: 1247241	i: 9676
Executed: 1247240	i: 9675
Executed: 1247239	i: 9674
Executed: 1315335	i: 9673
Executed: 1315334	i: 9672
Executed: 1315333	i: 9670
Executed: 1315332	i: 9669
Executed: 1315331	i: 9668
Executed: 1315330	i: 9667
Executed: 1315329	i: 9666
Executed: 1315328	i: 9665
Executed: 1315327	i: 9664
Executed: 1315326	i: 9663
Executed: 1349341	i: 9662
Executed: 1349340	i: 9661
Executed: 1349339	i: 9660
Executed: 1349338	i: 9659
Executed: 1349337	i: 9658
Executed: 1349336	i: 9657
Executed: 1349335	i: 9656
Executed: 1349334	i: 9655
Executed: 1349333	i: 9654
Executed: 1373602	i: 9653
Executed: 1373601	i: 9652
Executed: 1373600	i: 9651
Executed: 1373599	i: 9650
Executed: 1373598	i: 9649
Executed: 1373597	i: 9648
Executed: 1373582	i: 9647
Executed: 1373581	i: 9646
Executed: 1373580	i: 9645
Executed: 1373579	i: 9644
Executed: 1373578	i: 9643
Executed: 1373577	i: 9642
Executed: 1375978	i: 9641
Executed: 1375977	i: 9640
Executed: 1375976	i: 9639
Executed: 1375975	i: 9638
Executed: 1375974	i: 9637
Executed: 1375973	i: 9636
Executed: 1452017	i: 9635
Executed: 1452016	i: 9634
Executed: 1452015	i: 9633
Executed: 1452014	i: 9632
Executed: 1452013	i: 9631
Executed: 1519396	i: 9630
Executed: 1519395	i: 9629
Executed: 1519394	i: 9628
Executed: 1519393	i: 9627
Executed: 1519392	i: 9626
Executed: 1519391	i: 9625
Executed: 1525907	i: 9624
Executed: 1525906	i: 9623
Executed: 1525905	i: 9622
Executed: 1525904	i: 9621
Executed: 1525903	i: 9620
Executed: 1558903	i: 9619
Executed: 1558902	i: 9618
Executed: 1558901	i: 9617
Executed: 1558900	i: 9616
Executed: 1558899	i: 9615
Executed: 1558898	i: 9614
Executed: 1618594	i: 9613
Executed: 1618593	i: 9612
Executed: 1618592	i: 9611
Executed: 1618591	i: 9610
Executed: 1618590	i: 9609
Executed: 1618589	i: 9608
Executed: 1666004	i: 9607
Executed: 1666003	i: 9606
Executed: 1666002	i: 9605
Executed: 1666001	i: 9604
Executed: 1666000	i: 9603
Executed: 1665999	i: 9602
Executed: 1665998	i: 9601
Executed: 1734169	i: 9600
Executed: 1734168	i: 9599
Executed: 1734167	i: 9598
Executed: 1734166	i: 9597
Executed: 1734165	i: 9596
Executed: 1734164	i: 9595
Executed: 1734163	i: 9594
Executed: 1734162	i: 9593
Executed: 1734161	i: 9592
Executed: 764009	i: 9324
Executed: 763957	i: 9323
Executed: 764011	i: 9312
Executed: 764007	i: 9310
Executed: 777948	i: 9297
Executed: 846275	i: 9288
Executed: 958078	i: 9258
Executed: 958077	i: 9257
Executed: 962069	i: 9256
Executed: 985607	i: 9241
Executed: 1040561	i: 9188
Executed: 1040563	i: 9187
Executed: 1086450	i: 9142
Executed: 1127026	i: 9091
Executed: 1147993	i: 9083
Executed: 1147992	i: 9082
Executed: 1143393	i: 9081
Executed: 1143395	i: 9080
Executed: 1164071	i: 9059
Executed: 1195938	i: 9052
Executed: 1187567	i: 9051
Executed: 1238608	i: 9038
Executed: 1247273	i: 9029
Executed: 1276155	i: 9024
Executed: 1286461	i: 9022
Executed: 1286954	i: 9016
Executed: 1286463	i: 9014
Executed: 1295290	i: 9006
Executed: 1317486	i: 9003
Executed: 1361370	i: 8986
Executed: 1361366	i: 8975
Executed: 1621733	i: 8970
Executed: 1366327	i: 8961
Executed: 1378356	i: 8948
Executed: 1499293	i: 8910
Executed: 1497627	i: 8909
Executed: 1513451	i: 8908
Executed: 1576102	i: 8907
Executed: 1576101	i: 8906
Executed: 1576100	i: 8905
Executed: 1569802	i: 8904
Executed: 1595424	i: 8903
Executed: 1595423	i: 8902
Executed: 1631806	i: 8901
Executed: 1865969	i: 8900
Executed: 1865908	i: 8899
Executed: 1870596	i: 8898
Executed: 1891342	i: 8897
Executed: 1891341	i: 8896
Executed: 1889839	i: 8895
Executed: 1883621	i: 8894
Executed: 1883611	i: 8893
Executed: 1880067	i: 8892
Executed: 1921573	i: 8891
Executed: 1920826	i: 8890
Executed: 1899474	i: 8889
Executed: 1899473	i: 8888
Executed: 1897729	i: 8887
Executed: 1936886	i: 8886
Executed: 1936885	i: 8885
Executed: 1925843	i: 8884
Executed: 1925842	i: 8883
Executed: 1922682	i: 8882
Executed: 1944826	i: 8881
Executed: 1941856	i: 8880
Executed: 1940722	i: 8879
Executed: 1959018	i: 8878
Executed: 1959017	i: 8877
Executed: 1972563	i: 8876
Executed: 1967047	i: 8875
Executed: 1967046	i: 8874
Executed: 1979464	i: 8873
Executed: 1979463	i: 8872
Executed: 1998374	i: 8871
Executed: 1998373	i: 8870
Executed: 2015997	i: 8869
Executed: 2043157	i: 8868
Executed: 2043156	i: 8867
Executed: 2120104	i: 8866
Executed: 2076024	i: 8865
Executed: 2160599	i: 8864
Executed: 2188285	i: 8863
Executed: 2213617	i: 8862
Executed: 2351437	i: 8861
Executed: 2369298	i: 8860
Executed: 2369297	i: 8859
Executed: 2399411	i: 8858
Executed: 2390011	i: 8857
Executed: 2390010	i: 8856
Executed: 2406359	i: 8855
Executed: 2406358	i: 8854
Executed: 2406357	i: 8853
Executed: 2406361	i: 8852
Executed: 2406360	i: 8851
Executed: 2435199	i: 8850
Executed: 2435198	i: 8849
Executed: 2447479	i: 8848
Executed: 2447478	i: 8847
Executed: 2447477	i: 8846
Executed: 2480353	i: 8845
Executed: 2480356	i: 8844
Executed: 2480355	i: 8843
Executed: 2555240	i: 8842
Executed: 2555239	i: 8841
Executed: 2555238	i: 8840
Executed: 2555237	i: 8839
Executed: 2555236	i: 8838
Executed: 2576893	i: 8837
Executed: 2576892	i: 8836
Executed: 2576895	i: 8835
Executed: 2590531	i: 8834
Executed: 2590530	i: 8833
Executed: 2590529	i: 8832
Executed: 2591795	i: 8831
Executed: 2601337	i: 8830
Executed: 2591682	i: 8829
Executed: 2591684	i: 8828
Executed: 2618393	i: 8827
Executed: 2636340	i: 8826
Executed: 2618395	i: 8825
Executed: 2618397	i: 8824
Executed: 2633608	i: 8823
Executed: 2591679	i: 8822
Executed: 2618399	i: 8821
Executed: 2591685	i: 8820
Executed: 2642653	i: 8819
Executed: 2591683	i: 8818
Executed: 2618403	i: 8817
Executed: 2591680	i: 8816
Executed: 2591686	i: 8815
Executed: 2618401	i: 8814
Executed: 2618409	i: 8813
Executed: 2618407	i: 8812
Executed: 2591681	i: 8811
Executed: 2618405	i: 8810
Executed: 2667642	i: 8809
Executed: 2667640	i: 8808
Executed: 2668424	i: 8807
Executed: 2667647	i: 8806
Executed: 2667644	i: 8805
Executed: 2668390	i: 8804
Executed: 2668388	i: 8803
Executed: 2746519	i: 8802
Executed: 2755977	i: 8801
Executed: 2817212	i: 8800
Executed: 2822531	i: 8799
Executed: 2822529	i: 8798
Executed: 2822527	i: 8797
Executed: 2822875	i: 8796
Executed: 2822873	i: 8795
Executed: 2822533	i: 8794
Executed: 2822643	i: 8793
Executed: 2822879	i: 8792
Executed: 2822877	i: 8791
Executed: 2822883	i: 8790
Executed: 2822881	i: 8789
Executed: 2822889	i: 8788
Executed: 2822887	i: 8787
Executed: 2822885	i: 8786
Executed: 2892034	i: 8785
Executed: 2886415	i: 8784
Executed: 2903524	i: 8783
Executed: 2913029	i: 8782
Executed: 2933230	i: 8781
Executed: 2974062	i: 8780
Executed: 2986331	i: 8779
Executed: 2986329	i: 8778
Executed: 3001758	i: 8777
Executed: 3005397	i: 8776
Executed: 174806	i: 8773
Executed: 174801	i: 8768
Executed: 182974	i: 8759
Executed: 208163	i: 8743
